Year,Month,Day,Hour,LMP
2024,6,7,20,43.882016666666665
2024,6,7,21,43.452666666666666
2024,6,7,22,35.711953333333334
2024,6,7,23,30.682666666666666
2024,6,7,24,28.874260000000003
2024,6,8,1,29.215320000000002
2024,6,8,2,28.056929999999998
2024,6,8,3,27.173336666666668
2024,6,8,4,28.191423333333333
2024,6,8,5,28.738656666666667
2024,6,8,6,28.92435
2024,6,8,7,22.356793333333332
2024,6,8,8,0.4835733333333332
2024,6,8,9,-2.95743
2024,6,8,10,-4.3875866666666665
2024,6,8,11,-3.85399
2024,6,8,12,-5.29323
2024,6,8,13,-5.055513333333333
2024,6,8,14,-5.21038
2024,6,8,15,-4.7843333333333335
2024,6,8,16,-2.68042
2024,6,8,17,1.4810666666666668
2024,6,8,18,11.704896666666668
2024,6,8,19,29.018796666666663
2024,6,8,20,37.03434333333333
2024,6,8,21,39.5925
2024,6,8,22,37.40607333333333
2024,6,8,23,30.120643333333334
2024,6,8,24,29.823206666666664
2024,6,9,1,25.723123333333334
2024,6,9,2,24.96839
2024,6,9,3,25.580883333333333
2024,6,9,4,24.450419999999998
2024,6,9,5,22.527056666666667
2024,6,9,6,24.453793333333333
2024,6,9,7,10.489293333333334
2024,6,9,8,-3.5634099999999997
2024,6,9,9,-12.33693
2024,6,9,10,-13.582896666666665
2024,6,9,11,-14.418660000000001
2024,6,9,12,-15.509756666666666
2024,6,9,13,-17.45362
2024,6,9,14,-15.6665
2024,6,9,15,-12.315653333333332
2024,6,9,16,-9.308703333333332
2024,6,9,17,-0.6355466666666668
2024,6,9,18,5.6635333333333335
2024,6,9,19,25.719963333333336
2024,6,9,20,33.36960666666666
2024,6,9,21,38.68069666666667
2024,6,9,22,34.35975
2024,6,9,23,29.898466666666668
2024,6,9,24,29.49172
2024,6,10,1,28.262739999999997
2024,6,10,2,29.333746666666666
2024,6,10,3,26.83966666666667
2024,6,10,4,28.411893333333335
2024,6,10,5,29.645970000000002
2024,6,10,6,34.05316666666667
2024,6,10,7,27.740463333333334
2024,6,10,8,10.57921
2024,6,10,9,6.040366666666666
2024,6,10,10,5.29339
2024,6,10,11,4.912903333333333
2024,6,10,12,5.369126666666666
2024,6,10,13,3.3483366666666665
2024,6,10,14,5.2175
2024,6,10,15,6.218936666666667
2024,6,10,16,11.416493333333333
2024,6,10,17,14.419780000000001
2024,6,10,18,24.72752
2024,6,10,19,33.20514666666667
2024,6,10,20,50.03085333333333
2024,6,10,21,45.10291333333333
2024,6,10,22,34.36784666666667
2024,6,10,23,31.09196
2024,6,10,24,29.088383333333336
2024,6,11,1,28.638423333333332
2024,6,11,2,28.007246666666664
2024,6,11,3,27.36297666666667
2024,6,11,4,27.17947
2024,6,11,5,28.690446666666663
2024,6,11,6,31.781683333333334
2024,6,11,7,27.961613333333332
2024,6,11,8,11.500643333333334
2024,6,11,9,9.401850000000001
2024,6,11,10,7.77129
2024,6,11,11,8.193513333333334
2024,6,11,12,8.982136666666667
2024,6,11,13,8.419076666666667
2024,6,11,14,9.41616
2024,6,11,15,10.233433333333332
2024,6,11,16,16.478643333333334
2024,6,11,17,19.679096666666666
2024,6,11,18,26.180883333333338
2024,6,11,19,34.675853333333336
2024,6,11,20,48.88885666666667
2024,6,11,21,51.233913333333334
2024,6,11,22,36.17334333333333
2024,6,11,23,30.833573333333334
2024,6,11,24,30.134106666666668
2024,6,12,1,29.15652
2024,6,12,2,29.697789999999998
2024,6,12,3,28.554819999999996
2024,6,12,4,30.113326666666666
2024,6,12,5,31.124570000000002
2024,6,12,6,32.841370000000005
2024,6,12,7,29.538
2024,6,12,8,13.067663333333334
2024,6,12,9,10.644829999999999
2024,6,12,10,10.084773333333333
2024,6,12,11,10.071823333333333
2024,6,12,12,9.225793333333334
2024,6,12,13,9.569833333333333
2024,6,12,14,11.057233333333334
2024,6,12,15,11.66939
2024,6,12,16,14.558286666666667
2024,6,12,17,20.609826666666667
2024,6,12,18,31.052116666666667
2024,6,12,19,39.140440000000005
2024,6,12,20,54.34015333333334
2024,6,12,21,55.18786333333333
2024,6,12,22,40.52032666666667
2024,6,12,23,36.15627
2024,6,12,24,31.046473333333335
2024,6,13,1,32.235013333333335
2024,6,13,2,30.94720666666667
2024,6,13,3,30.195233333333334
2024,6,13,4,30.400053333333332
2024,6,13,5,32.60548666666667
2024,6,13,6,35.56860666666667
2024,6,13,7,30.17711
2024,6,13,8,16.613706666666666
2024,6,13,9,12.019616666666666
2024,6,13,10,11.189386666666666
2024,6,13,11,11.365609999999998
2024,6,13,12,11.792773333333335
2024,6,13,13,11.780963333333332
2024,6,13,14,12.933083333333334
2024,6,13,15,14.249920000000001
2024,6,13,16,16.383943333333335
2024,6,13,17,16.54693
2024,6,13,18,23.2653
2024,6,13,19,31.120343333333334
2024,6,13,20,45.033636666666666
2024,6,13,21,48.28214
2024,6,13,22,38.76201
2024,6,13,23,31.446736666666666
2024,6,13,24,28.857919999999996
2024,6,14,1,26.967263333333335
2024,6,14,2,27.472620000000003
2024,6,14,3,26.913456666666665
2024,6,14,4,24.63580333333333
2024,6,14,5,25.993996666666664
2024,6,14,6,28.17416
2024,6,14,7,21.943276666666666
2024,6,14,8,7.585346666666666
2024,6,14,9,4.617556666666666
2024,6,14,10,4.181503333333333
2024,6,14,11,3.2482633333333335
2024,6,14,12,3.2199166666666663
2024,6,14,13,3.8015066666666666
2024,6,14,14,4.972326666666667
2024,6,14,15,7.945786666666667
2024,6,14,16,10.589126666666667
2024,6,14,17,13.250163333333333
2024,6,14,18,22.569503333333333
2024,6,14,19,30.932976666666665
2024,6,14,20,45.14995666666667
2024,6,14,21,48.131773333333335
2024,6,14,22,41.550396666666664
2024,6,14,23,32.106696666666664
2024,6,14,24,30.66371666666667
2024,6,15,1,28.2118
2024,6,15,2,27.127496666666662
2024,6,15,3,27.088956666666665
2024,6,15,4,26.958296666666666
2024,6,15,5,25.933516666666666
2024,6,15,6,26.79304666666667
2024,6,15,7,15.630740000000001
2024,6,15,8,-4.246486666666667
2024,6,15,9,-11.224403333333333
2024,6,15,10,-11.90121
2024,6,15,11,-11.563533333333334
2024,6,15,12,-12.13156
2024,6,15,13,-10.488406666666668
2024,6,15,14,-9.844733333333332
2024,6,15,15,-4.4093
2024,6,15,16,-2.11025
2024,6,15,17,5.536696666666667
2024,6,15,18,18.67903
2024,6,15,19,29.962059999999997
2024,6,15,20,44.02685666666667
2024,6,15,21,47.49015666666667
2024,6,15,22,40.54049333333333
2024,6,15,23,31.25988666666667
2024,6,15,24,30.45471333333333
2024,6,16,1,26.588963333333336
2024,6,16,2,25.473096666666667
2024,6,16,3,24.262783333333335
2024,6,16,4,24.127193333333334
2024,6,16,5,22.800556666666665
2024,6,16,6,21.166106666666668
2024,6,16,7,7.035123333333334
2024,6,16,8,-17.679486666666666
2024,6,16,9,-22.831703333333333
2024,6,16,10,-24.186239999999998
2024,6,16,11,-23.18733333333333
2024,6,16,12,-22.777263333333334
2024,6,16,13,-22.658730000000002
2024,6,16,14,-22.471523333333334
2024,6,16,15,-22.290583333333334
2024,6,16,16,-14.044386666666668
2024,6,16,17,-7.442716666666667
2024,6,16,18,6.342413333333333
2024,6,16,19,24.769926666666667
2024,6,16,20,35.39919666666667
2024,6,16,21,43.43998333333334
2024,6,16,22,37.32582
2024,6,16,23,30.456083333333336
2024,6,16,24,29.550510000000003
2024,6,17,1,28.206059999999997
