Year,Month,Day,Hour,$/MWh
2023,12,17,19,64.16368
2023,12,17,20,63.8914
2023,12,17,21,63.65321
2023,12,17,22,62.90142
2023,12,17,23,61.73367
2023,12,17,24,57.2
2023,12,18,1,59.38001
2023,12,18,2,55.73666
2023,12,18,3,56.08158
2023,12,18,4,55.62768
2023,12,18,5,55.69228
2023,12,18,6,60.7462
2023,12,18,7,65.17031
2023,12,18,8,70.61434
2023,12,18,9,61.66143
2023,12,18,10,59.04504
2023,12,18,11,57.40898
2023,12,18,12,54.8247
2023,12,18,13,54.71269
2023,12,18,14,57.41397
2023,12,18,15,58.11958
2023,12,18,16,70.31642
2023,12,18,17,73.75468
2023,12,18,18,74.3278
2023,12,18,19,72.43377
2023,12,18,20,70.61751
2023,12,18,21,67.03364
2023,12,18,22,64.51449
2023,12,18,23,62.1118
2023,12,18,24,56.18084
2023,12,19,1,45.14906
2023,12,19,2,44.46225
2023,12,19,3,44.42157
2023,12,19,4,44.27314
2023,12,19,5,44.50185
2023,12,19,6,48.77496
2023,12,19,7,54.23082
2023,12,19,8,55.2527
2023,12,19,9,53.57143
2023,12,19,10,45.06991
2023,12,19,11,44.73485
2023,12,19,12,43.88781
2023,12,19,13,43.67488
2023,12,19,14,44.43254
2023,12,19,15,44.79279
2023,12,19,16,58.78675
2023,12,19,17,63.88187
2023,12,19,18,65.95102
2023,12,19,19,64.50492
2023,12,19,20,63.91563
2023,12,19,21,62.21991
2023,12,19,22,61.59213
2023,12,19,23,53.35662
2023,12,19,24,52.60944
2023,12,20,1,47.19455
2023,12,20,2,46.23818
2023,12,20,3,45.92098
2023,12,20,4,45.78253
2023,12,20,5,46.8406
2023,12,20,6,53.59266
2023,12,20,7,55.558
2023,12,20,8,53.64756
2023,12,20,9,49.08092
2023,12,20,10,48.58197
2023,12,20,11,46.91788
2023,12,20,12,46.07901
2023,12,20,13,44.62646
2023,12,20,14,46.17681
2023,12,20,15,48.10521
2023,12,20,16,56.53065
2023,12,20,17,65.36784
2023,12,20,18,65.84525
2023,12,20,19,64.37308
2023,12,20,20,62.85942
2023,12,20,21,62.47651
2023,12,20,22,60.88444
2023,12,20,23,53.59866
2023,12,20,24,52.86131
2023,12,21,1,45.88502
2023,12,21,2,43.78145
2023,12,21,3,43.84889
2023,12,21,4,43.83631
2023,12,21,5,43.80981
2023,12,21,6,51.3782
2023,12,21,7,53.33542
2023,12,21,8,52.55475
2023,12,21,9,46.66598
2023,12,21,10,44.63657
2023,12,21,11,43.81463
2023,12,21,12,43.57865
2023,12,21,13,43.40478
2023,12,21,14,43.44656
2023,12,21,15,44.26156
2023,12,21,16,50.75167
2023,12,21,17,59.17889
2023,12,21,18,60.43434
2023,12,21,19,57.65776
2023,12,21,20,57.21366
2023,12,21,21,56.80644
2023,12,21,22,54.27114
2023,12,21,23,53.49764
2023,12,21,24,49.52898
2023,12,22,1,43.51771
2023,12,22,2,41.21793
2023,12,22,3,41.09143
2023,12,22,4,40.66427
2023,12,22,5,41.50328
2023,12,22,6,48.5279
2023,12,22,7,51.32262
2023,12,22,8,51.69316
2023,12,22,9,50.96579
2023,12,22,10,43.39859
2023,12,22,11,43.39859
2023,12,22,12,40.60027
2023,12,22,13,38.74147
2023,12,22,14,38.94412
2023,12,22,15,38.69427
2023,12,22,16,42.52269
2023,12,22,17,50.6216
2023,12,22,18,52.62782
2023,12,22,19,47.46801
2023,12,22,20,48.01226
2023,12,22,21,47.49248
2023,12,22,22,47.20585
2023,12,22,23,42.79431
2023,12,22,24,41.52977
2023,12,23,1,38.80561
2023,12,23,2,37.93
2023,12,23,3,37.57254
2023,12,23,4,36.87
2023,12,23,5,37.00573
2023,12,23,6,39.80063
2023,12,23,7,43.46904
2023,12,23,8,41.54302
2023,12,23,9,32.62244
2023,12,23,10,23.31481
2023,12,23,11,19.33522
2023,12,23,12,19.00349
2023,12,23,13,17.60928
2023,12,23,14,17.87237
2023,12,23,15,18.56358
2023,12,23,16,34.23353
2023,12,23,17,50.52578
2023,12,23,18,51.30353
2023,12,23,19,51.41632
2023,12,23,20,50.7679
2023,12,23,21,51.13793
2023,12,23,22,51.28206
2023,12,23,23,50.64086
2023,12,23,24,50.61867
2023,12,24,1,42.88066
2023,12,24,2,42.53918
2023,12,24,3,41.12743
2023,12,24,4,41.42689
2023,12,24,5,42.55224
2023,12,24,6,43.4368
2023,12,24,7,46.80655
2023,12,24,8,40.86
2023,12,24,9,28.21442
2023,12,24,10,23.4284
2023,12,24,11,22.67324
2023,12,24,12,20.66129
2023,12,24,13,19.69435
2023,12,24,14,20.2737
2023,12,24,15,21.75906
2023,12,24,16,41.2039
2023,12,24,17,51.26472
2023,12,24,18,51.51801
2023,12,24,19,51.90135
2023,12,24,20,51.62505
2023,12,24,21,51.68856
2023,12,24,22,51.43866
2023,12,24,23,51.1725
2023,12,24,24,50.97628
2023,12,25,1,49.62806
2023,12,25,2,48.13954
2023,12,25,3,44.98436
2023,12,25,4,44.26761
2023,12,25,5,48.10677
2023,12,25,6,49.58934
2023,12,25,7,51.79388
2023,12,25,8,38.56325
2023,12,25,9,34.20253
2023,12,25,10,24.7662
2023,12,25,11,22.77943
2023,12,25,12,21.56743
